4.047591932729888953e+01,3.664631298445493712e+01,4.511310689389175650e+02
3.306779211660829532e+01,2.899563862455850938e+01,3.199140997748821178e+02
3.541866291119369947e+01,3.140209452057388972e+01,3.595412479894188209e+02
3.122354280348127631e+01,2.712317327848294823e+01,2.901722217102154673e+02
4.263216672785567596e+01,3.890765010600575380e+01,4.927483060968339714e+02
3.170183594445327557e+01,2.760742743752138395e+01,2.977706435288599209e+02
3.552252033723046054e+01,3.150889049950420784e+01,3.613356728581020434e+02
4.005320206559599683e+01,3.620469209600051386e+01,4.431500302020058939e+02
3.125218494186396967e+01,2.715214505769740683e+01,2.906249674559939535e+02
3.272305435068309265e+01,2.864456607474571115e+01,3.142639338949345529e+02
3.028423013992160762e+01,2.617501331148947585e+01,2.754861339622589185e+02
2.951620013815468013e+01,2.540264271652898387e+01,2.637124621590452875e+02
3.341494138630654476e+01,2.934964719116031517e+01,3.256456185756290438e+02
3.145444934745576759e+01,2.735683671724014587e+01,2.938304270178397815e+02
3.845363903565699815e+01,3.453884278684540732e+01,4.134827157951104937e+02
3.861561705415422097e+01,3.470714870625557325e+01,4.164483941664229292e+02
2.921242860532243313e+01,2.509789128548478843e+01,2.591143356294541604e+02
3.100475786777129628e+01,2.690198620855588274e+01,2.867234916763953265e+02
3.460057128759545719e+01,3.056226012475000076e+01,3.455353454594358027e+02
3.289764777935938156e+01,2.882230802623360333e+01,3.171202950161609806e+02
